timestamp_us,adc_raw,voltage_V,field_mT
3232337048,2954,2.381,-25.394
3232346529,2939,2.368,-24.955
3232356529,2974,2.397,-25.978
3232366529,2915,2.349,-24.254
3232376529,2961,2.386,-25.598
3232386529,2960,2.385,-25.569
3232396529,2985,2.405,-26.299
3232406529,2933,2.364,-24.780
3232416529,2923,2.356,-24.488
3232426529,2928,2.360,-24.634
3232436529,2918,2.352,-24.342
3232446529,2943,2.372,-25.072
3232456529,2903,2.339,-23.904
3232466529,2971,2.394,-25.890
3232476529,2933,2.364,-24.780
3232486529,2981,2.402,-26.182
3232496529,2954,2.381,-25.394
3232506529,2960,2.385,-25.569
3232516529,2938,2.368,-24.926
3232526529,2966,2.390,-25.744
3232536529,2931,2.362,-24.722
3232546529,2960,2.385,-25.569
3232556529,2917,2.351,-24.313
3232566529,2962,2.387,-25.627
3232576529,2895,2.333,-23.670
3232586529,2978,2.400,-26.095
3232596529,2975,2.397,-26.007
3232606529,2966,2.390,-25.744
3232616529,2977,2.399,-26.065
3232626529,2981,2.402,-26.182
3232636529,1905,1.535,5.250
3232646529,1813,1.461,7.938
3232656529,1840,1.483,7.149
3232666529,1867,1.505,6.360
3232676529,1869,1.506,6.302
3232686529,1797,1.448,8.405
3232696529,1875,1.511,6.127
3232706529,1830,1.475,7.441
3232716529,1891,1.524,5.659
3232726529,1881,1.516,5.951
3232736529,1863,1.501,6.477
3232746529,1828,1.473,7.500
3232756529,1902,1.533,5.338
3232766529,1847,1.488,6.945
3232776529,1886,1.520,5.805
3232786529,1840,1.483,7.149
3232796529,1869,1.506,6.302
3232806529,1835,1.479,7.295
3232816529,1872,1.509,6.214
3232826529,1874,1.510,6.156
3232836529,1843,1.485,7.061
3232846529,1882,1.517,5.922
3232856529,1858,1.497,6.623
3232866529,1862,1.501,6.506
3232876529,1865,1.503,6.419
3232886529,1842,1.484,7.091
3232896529,1871,1.508,6.243
3232906529,1833,1.477,7.354
3232916529,1874,1.510,6.156
3232926529,1866,1.504,6.390
3232936529,1930,1.555,4.520
3232946529,1834,1.478,7.324
3232956529,1873,1.509,6.185
3232966529,1859,1.498,6.594
3232976529,1793,1.445,8.522
3232986529,1862,1.501,6.506
3232996529,1888,1.521,5.747
3233006529,1901,1.532,5.367
3233016529,1853,1.493,6.769
3233026529,1870,1.507,6.273
3233036529,1900,1.531,5.396
3233046529,1887,1.521,5.776
3233056529,1854,1.494,6.740
3233066529,1891,1.524,5.659
3233076529,1835,1.479,7.295
3233086529,1883,1.517,5.893
3233096529,1842,1.484,7.091
3233106529,1875,1.511,6.127
3233116529,1855,1.495,6.711
3233126529,1874,1.510,6.156
3233136529,1877,1.513,6.068
3233146529,1872,1.509,6.214
3233156529,1869,1.506,6.302
3233166529,1867,1.505,6.360
3233176529,1886,1.520,5.805
3233186529,1895,1.527,5.542
3233196529,1823,1.469,7.646
3233206529,1891,1.524,5.659
3233216529,1872,1.509,6.214
3233226529,1871,1.508,6.243
3233236529,1834,1.478,7.324
3233246529,1873,1.509,6.185
3233256529,1858,1.497,6.623
3233266529,1885,1.519,5.835
3233276529,1871,1.508,6.243
3233286529,1878,1.513,6.039
3233296529,1874,1.510,6.156
3233306529,1840,1.483,7.149
3233316529,1863,1.501,6.477
3233326529,1878,1.513,6.039
timestamp_us,adc_raw,voltage_V,field_mT
544647,1866,1.504,6.390
554525,1860,1.499,6.565
564525,1859,1.498,6.594
574525,1864,1.502,6.448
584525,1863,1.501,6.477
594525,1967,1.585,3.439
604525,1831,1.476,7.412
614525,1858,1.497,6.623
624525,1866,1.504,6.390
634525,1878,1.513,6.039
644525,1867,1.505,6.360
654525,1876,1.512,6.097
664525,1857,1.496,6.652
674525,1866,1.504,6.390
684525,1829,1.474,7.470
694525,1870,1.507,6.273
704525,1840,1.483,7.149
714525,1872,1.509,6.214
724525,1871,1.508,6.243
734525,1841,1.484,7.120
744525,1882,1.517,5.922
754525,1865,1.503,6.419
764525,1840,1.483,7.149
774525,1863,1.501,6.477
784525,1887,1.521,5.776
794525,1895,1.527,5.542
804525,1867,1.505,6.360
814525,1859,1.498,6.594
824525,1850,1.491,6.857
834525,1872,1.509,6.214
844525,1866,1.504,6.390
854525,1862,1.501,6.506
864525,1858,1.497,6.623
874525,1861,1.500,6.536
884525,1875,1.511,6.127
894525,1845,1.487,7.003
904525,1879,1.514,6.010
914525,1856,1.496,6.682
924525,1833,1.477,7.354
934525,1877,1.513,6.068
944525,1831,1.476,7.412
954525,1873,1.509,6.185
964525,1835,1.479,7.295
974525,1865,1.503,6.419
984525,1879,1.514,6.010
994525,1840,1.483,7.149
1004525,1842,1.484,7.091
1014525,1873,1.509,6.185
1024525,1875,1.511,6.127
