timestamp_us,adc_raw,voltage_V,field_mT
140160265,1696,1.367,23.13
140210649,1697,1.368,23.07
140261060,1680,1.354,24.05
140311444,1697,1.368,23.07
140361830,1712,1.380,22.20
140412214,1713,1.380,22.15
140462600,1681,1.355,23.99
140513057,1697,1.368,23.07
140563444,1696,1.367,23.13
140613828,1713,1.380,22.15
140664212,1713,1.380,22.15
140714598,1680,1.354,24.05
140765054,1696,1.367,23.13
140815440,1696,1.367,23.13
140865825,1712,1.380,22.20
140916209,1681,1.355,23.99
140966595,1697,1.368,23.07
141017051,1696,1.367,23.13
141067440,1680,1.354,24.05
141117826,1681,1.355,23.99
141168213,1697,1.368,23.07
141223608,1713,1.380,22.15
141274049,1697,1.368,23.07
141324437,1697,1.368,23.07
141374821,1680,1.354,24.05
141425204,1696,1.367,23.13
141475588,1697,1.368,23.07
141526045,1696,1.367,23.13
141576429,1713,1.380,22.15
141626816,1680,1.354,24.05
141677201,1696,1.367,23.13
141727587,1680,1.354,24.05
141778044,1713,1.380,22.15
141828429,1712,1.380,22.20
141878813,1680,1.354,24.05
141929197,1696,1.367,23.13
141979584,1681,1.355,23.99
142030040,1681,1.355,23.99
142080423,1712,1.380,22.20
142130811,1697,1.368,23.07
142181196,1713,1.380,22.15
142231583,1696,1.367,23.13
142282038,1697,1.368,23.07
142332424,1697,1.368,23.07
142382810,1681,1.355,23.99
142433197,1696,1.367,23.13
142483584,1680,1.354,24.05
142534035,1697,1.368,23.07
142584419,1680,1.354,24.05
142634807,1697,1.368,23.07
142685191,1680,1.354,24.05
142735576,1681,1.355,23.99
142786032,1697,1.368,23.07
142836414,1680,1.354,24.05
142886798,1713,1.380,22.15
142937182,1697,1.368,23.07
142987568,1696,1.367,23.13
143038029,1681,1.355,23.99
143088415,1696,1.367,23.13
143138801,1697,1.368,23.07
143189189,1696,1.367,23.13
143239577,1696,1.367,23.13
143290027,1697,1.368,23.07
143340415,1680,1.354,24.05
143390800,1713,1.380,22.15
143441189,1728,1.393,21.28
143491573,1697,1.368,23.07
143542024,1680,1.354,24.05
143592414,1697,1.368,23.07
143642801,1664,1.341,24.97
143693186,1681,1.355,23.99
143748578,1681,1.355,23.99
143799022,1680,1.354,24.05
143849410,1680,1.354,24.05
143899796,1697,1.368,23.07
143950183,1696,1.367,23.13
144000572,1696,1.367,23.13
144051019,1696,1.367,23.13
144101402,1681,1.355,23.99
144151790,1681,1.355,23.99
144202174,1696,1.367,23.13
144252561,1697,1.368,23.07
144303016,1696,1.367,23.13
144353401,1681,1.355,23.99
144403787,1697,1.368,23.07
144454170,1697,1.368,23.07
144504557,1681,1.355,23.99
144555014,1697,1.368,23.07
144605403,1712,1.380,22.20
144655786,1697,1.368,23.07
144706176,1712,1.380,22.20
144756560,1697,1.368,23.07
144807011,1712,1.380,22.20
144857400,1680,1.354,24.05
144907783,1696,1.367,23.13
144958167,1697,1.368,23.07
145008553,1697,1.368,23.07
145059009,1680,1.354,24.05
145109394,1697,1.368,23.07
145159783,1697,1.368,23.07
145210168,1696,1.367,23.13
145260557,1712,1.380,22.20
145311006,1681,1.355,23.99
145361392,1696,1.367,23.13
145411776,1697,1.368,23.07
145462160,1680,1.354,24.05
145512546,1697,1.368,23.07
145563002,1696,1.367,23.13
145613385,1681,1.355,23.99
145663769,1681,1.355,23.99
145714152,1697,1.368,23.07
145764536,1696,1.367,23.13
145815000,1697,1.368,23.07
145865382,1697,1.368,23.07
145915771,1696,1.367,23.13
145966155,1697,1.368,23.07
146016538,1681,1.355,23.99
146066998,1696,1.367,23.13
146117386,1697,1.368,23.07
146167769,1696,1.367,23.13
146218153,1697,1.368,23.07
146273544,1681,1.355,23.99
146323994,1696,1.367,23.13
146374384,1680,1.354,24.05
146424768,1712,1.380,22.20
146475156,1696,1.367,23.13
146525541,1712,1.380,22.20
146575992,1696,1.367,23.13
146626381,1680,1.354,24.05
146676769,1712,1.380,22.20
146727153,1712,1.380,22.20
146777540,1713,1.380,22.15
146827989,1697,1.368,23.07
146878374,1696,1.367,23.13
146928760,1696,1.367,23.13
146979144,1712,1.380,22.20
147029532,1680,1.354,24.05
147079987,1712,1.380,22.20
147130373,1697,1.368,23.07
147180766,1697,1.368,23.07
147231153,1696,1.367,23.13
147281537,1697,1.368,23.07
147331985,1712,1.380,22.20
147382369,1696,1.367,23.13
147432754,1696,1.367,23.13
147483138,1697,1.368,23.07
147533525,1696,1.367,23.13
147583982,1681,1.355,23.99
147634369,1697,1.368,23.07
147684755,1696,1.367,23.13
147735143,1696,1.367,23.13
147785528,1696,1.367,23.13
147835979,1681,1.355,23.99
147886367,1696,1.367,23.13
147936755,1681,1.355,23.99
147987140,1712,1.380,22.20
148037529,1680,1.354,24.05
148087976,1713,1.380,22.15
148138359,1696,1.367,23.13
148188747,1680,1.354,24.05
148239131,1696,1.367,23.13
148289518,1713,1.380,22.15
148339973,1712,1.380,22.20
148390358,1681,1.355,23.99
148440749,1680,1.354,24.05
148491133,1713,1.380,22.15
148541521,1681,1.355,23.99
148591971,1712,1.380,22.20
148642356,1696,1.367,23.13
148692741,1697,1.368,23.07
148743125,1680,1.354,24.05
148798521,1697,1.368,23.07
148848968,1681,1.355,23.99
148899356,1696,1.367,23.13
148949740,1697,1.368,23.07
149000124,1697,1.368,23.07
149050510,1696,1.367,23.13
149100966,1680,1.354,24.05
149151350,1680,1.354,24.05
149201735,1697,1.368,23.07
149252120,1680,1.354,24.05
149302507,1680,1.354,24.05
149352962,1697,1.368,23.07
149403349,1713,1.380,22.15
149453735,1697,1.368,23.07
149504123,1697,1.368,23.07
149554506,1713,1.380,22.15
149604960,1697,1.368,23.07
149655346,1712,1.380,22.20
149705730,1696,1.367,23.13
149756114,1697,1.368,23.07
149806500,1696,1.367,23.13
149856958,1712,1.380,22.20
149907342,1681,1.355,23.99
149957727,1697,1.368,23.07
150008112,1697,1.368,23.07
150058498,1696,1.367,23.13
150108954,1713,1.380,22.15
150159337,1697,1.368,23.07
150209721,1712,1.380,22.20
150260109,1696,1.367,23.13
150310495,1713,1.380,22.15
150360952,1696,1.367,23.13
150411340,1696,1.367,23.13
150461726,1696,1.367,23.13
150512114,1697,1.368,23.07
150562496,1712,1.380,22.20
150612949,1680,1.354,24.05
150663337,1681,1.355,23.99
150713725,1680,1.354,24.05
150764110,1681,1.355,23.99
150814499,1696,1.367,23.13
150864947,1681,1.355,23.99
150915336,1697,1.368,23.07
150965724,1681,1.355,23.99
151016109,1712,1.380,22.20
151066494,1696,1.367,23.13
151116944,1680,1.354,24.05
151167329,1696,1.367,23.13
151217714,1712,1.380,22.20
151268100,1696,1.367,23.13
151323491,1713,1.380,22.15
151373942,1696,1.367,23.13
151424330,1697,1.368,23.07
151474717,1697,1.368,23.07
151525101,1697,1.368,23.07
151575489,1680,1.354,24.05
151625938,1713,1.380,22.15
151676327,1681,1.355,23.99
151726711,1681,1.355,23.99
151777099,1697,1.368,23.07
151827486,1696,1.367,23.13
151877936,1681,1.355,23.99
151928324,1696,1.367,23.13
151978709,1713,1.380,22.15
152029097,1697,1.368,23.07
152079483,1697,1.368,23.07
152129933,1712,1.380,22.20
152180321,1697,1.368,23.07
152230714,1681,1.355,23.99
152281101,1680,1.354,24.05
152331486,1713,1.380,22.15
152381930,1697,1.368,23.07
152432313,1696,1.367,23.13
152482699,1696,1.367,23.13
152533086,1697,1.368,23.07
152583471,1713,1.380,22.15
152633928,1697,1.368,23.07
152684316,1696,1.367,23.13
152734701,1680,1.354,24.05
152785089,1696,1.367,23.13
152835474,1681,1.355,23.99
152885925,1696,1.367,23.13
152936308,1713,1.380,22.15
152986693,1696,1.367,23.13
153037080,1697,1.368,23.07
153087466,1681,1.355,23.99
153137922,1681,1.355,23.99
153188304,1681,1.355,23.99
153238690,1712,1.380,22.20
153289078,1697,1.368,23.07
153339463,1681,1.355,23.99
153389919,1696,1.367,23.13
153440308,1712,1.380,22.20
153490700,1680,1.354,24.05
153541087,1712,1.380,22.20
153591473,1712,1.380,22.20
153641917,1712,1.380,22.20
153692304,1696,1.367,23.13
153742690,1696,1.367,23.13
153793078,1696,1.367,23.13
153848470,1680,1.354,24.05
153898914,1696,1.367,23.13
153949300,1697,1.368,23.07
153999683,1696,1.367,23.13
154050069,1697,1.368,23.07
154100456,1681,1.355,23.99
154150911,1696,1.367,23.13
154201296,1680,1.354,24.05
154251681,1712,1.380,22.20
154302067,1697,1.368,23.07
154352453,1697,1.368,23.07
154402908,1696,1.367,23.13
154453294,1713,1.380,22.15
154503680,1697,1.368,23.07
154554065,1712,1.380,22.20
154604451,1697,1.368,23.07
154654906,1681,1.355,23.99
154705289,1680,1.354,24.05
154755677,1697,1.368,23.07
154806062,1696,1.367,23.13
154856450,1713,1.380,22.15
154906904,1697,1.368,23.07
154957291,1681,1.355,23.99
155007679,1712,1.380,22.20
155058064,1696,1.367,23.13
155108450,1697,1.368,23.07
155158900,1680,1.354,24.05
155209282,1712,1.380,22.20
