timestamp_us;adc_raw;voltage_V;field_mT
58507;1665;1.476;73,97
108535;1681;1.490;68,83
158562;1600;1.418;94,86
208590;1665;1.476;73,97
258618;1649;1.462;79,12
308647;1648;1.461;79,44
358674;1649;1.462;79,12
408702;1665;1.476;73,97
458731;1696;1.503;64,01
508758;1665;1.476;73,97
558786;1664;1.475;74,3
608814;1648;1.461;79,44
658842;1648;1.461;79,44
708871;1681;1.490;68,83
758898;1632;1.447;84,58
808926;1681;1.490;68,83
858955;1649;1.462;79,12
908983;1681;1.490;68,83
959010;1665;1.476;73,97
1009039;1649;1.462;79,12
1059067;1665;1.476;73,97
1109095;1680;1.489;69,15
1159123;1664;1.475;74,3
1209151;1665;1.476;73,97
1259178;1617;1.433;89,4
1309207;1649;1.462;79,12
1359235;1680;1.489;69,15
1409262;1680;1.489;69,15
1459291;1633;1.448;84,26
1509319;1648;1.461;79,44
1559684;1649;1.462;79,12
1594713;1664;1.475;74,3
1629741;1665;1.476;73,97
1664769;1664;1.475;74,3
1699796;1648;1.461;79,44
1734823;1585;1.405;99,68
1769851;1696;1.503;64,01
1804879;1664;1.475;74,3
1839907;1664;1.475;74,3
1874935;1665;1.476;73,97
1909963;1664;1.475;74,3
1944991;1664;1.475;74,3
1980018;1664;1.475;74,3
2015045;1664;1.475;74,3
2050073;1648;1.461;79,44
2085101;1665;1.476;73,97
2120129;1664;1.475;74,3
2155157;1680;1.489;69,15
2190185;1664;1.475;74,3
2225213;1680;1.489;69,15
2260241;1681;1.490;68,83
2295269;1664;1.475;74,3
2330297;1681;1.490;68,83
2365325;1680;1.489;69,15
2400353;1681;1.490;68,83
2435381;1648;1.461;79,44
2470409;1664;1.475;74,3
2505437;1649;1.462;79,12
2540472;1649;1.462;79,12
2575500;1697;1.504;63,69
2610846;1681;1.490;68,83
2635374;1632;1.447;84,58
2659902;1681;1.490;68,83
2684431;1664;1.475;74,3
2708958;1649;1.462;79,12
2733486;1680;1.489;69,15
2758015;1665;1.476;73,97
2782543;1649;1.462;79,12
2807071;1648;1.461;79,44
2831599;1681;1.490;68,83
2856126;1632;1.447;84,58
2880653;1680;1.489;69,15
2905180;1633;1.448;84,26
2929708;1664;1.475;74,3
2954235;1665;1.476;73,97
2978763;1648;1.461;79,44
3003290;1664;1.475;74,3
3027818;1680;1.489;69,15
3052346;1648;1.461;79,44
3076874;1680;1.489;69,15
3101401;1680;1.489;69,15
3125929;1681;1.490;68,83
3150465;1665;1.476;73,97
3174992;1665;1.476;73,97
3199520;1696;1.503;64,01
3224048;1665;1.476;73,97
3248576;1696;1.503;64,01
3273104;1665;1.476;73,97
3297631;1680;1.489;69,15
3322159;1649;1.462;79,12
3347041;1649;1.462;79,12
3364219;1648;1.461;79,44
3381396;1649;1.462;79,12
3398575;1680;1.489;69,15
3415754;1665;1.476;73,97
3432933;1648;1.461;79,44
3450111;1665;1.476;73,97
3467289;1632;1.447;84,58
3484466;1681;1.490;68,83
3501644;1680;1.489;69,15
3518821;1664;1.475;74,3
3535999;1681;1.490;68,83
3553177;1665;1.476;73,97
3570354;1648;1.461;79,44
3587533;1649;1.462;79,12
3604711;1632;1.447;84,58
3621889;1665;1.476;73,97
3639067;1664;1.475;74,3
3656246;1664;1.475;74,3
3673423;1696;1.503;64,01
3690602;1680;1.489;69,15
3707780;1633;1.448;84,26
3724958;1648;1.461;79,44
3742137;1697;1.504;63,69
3759315;1665;1.476;73,97
3776492;1616;1.432;89,72
3793670;1664;1.475;74,3
3810849;1664;1.475;74,3
3828027;1664;1.475;74,3
3845205;1681;1.490;68,83
3862700;1664;1.475;74,3
3874734;1680;1.489;69,15
3886767;1649;1.462;79,12
3898801;1681;1.490;68,83
3910833;1681;1.490;68,83
3922866;1649;1.462;79,12
3934900;1649;1.462;79,12
3946932;1664;1.475;74,3
3958964;1680;1.489;69,15
3970998;1697;1.504;63,69
3983032;1665;1.476;73,97
3995065;1648;1.461;79,44
4007099;1680;1.489;69,15
4019132;1649;1.462;79,12
4031165;1649;1.462;79,12
4043197;1665;1.476;73,97
4055229;1680;1.489;69,15
4067262;1664;1.475;74,3
4079295;1633;1.448;84,26
4091328;1649;1.462;79,12
4103360;1665;1.476;73,97
4115394;1649;1.462;79,12
4127428;1649;1.462;79,12
4139462;1664;1.475;74,3
4151495;1680;1.489;69,15
4163528;1649;1.462;79,12
4175561;1648;1.461;79,44
4187594;1664;1.475;74,3
4199628;1664;1.475;74,3
4211661;1681;1.490;68,83
4224033;1681;1.490;68,83
4232465;1664;1.475;74,3
4240898;1681;1.490;68,83
4249330;1665;1.476;73,97
4257762;1681;1.490;68,83
4266194;1680;1.489;69,15
4274626;1649;1.462;79,12
4283058;1665;1.476;73,97
4291490;1681;1.490;68,83
4299921;1649;1.462;79,12
4308353;1680;1.489;69,15
4316785;1648;1.461;79,44
4325217;1680;1.489;69,15
4333648;1633;1.448;84,26
4342080;1665;1.476;73,97
4350513;1665;1.476;73,97
4358945;1664;1.475;74,3
4367377;1648;1.461;79,44
4375809;1664;1.475;74,3
4384241;1664;1.475;74,3
4392673;1649;1.462;79,12
4401106;1665;1.476;73,97
4409538;1680;1.489;69,15
4417970;1648;1.461;79,44
4426402;1648;1.461;79,44
4434834;1664;1.475;74,3
4443266;1681;1.490;68,83
4451699;1648;1.461;79,44
4460130;1648;1.461;79,44
4468562;1633;1.448;84,26
4477313;1664;1.475;74,3
4483225;1680;1.489;69,15
4489136;1664;1.475;74,3
4495047;1664;1.475;74,3
4500958;1696;1.503;64,01
4506870;1664;1.475;74,3
4512782;1665;1.476;73,97
4518693;1680;1.489;69,15
4524604;1649;1.462;79,12
4530516;1665;1.476;73,97
4536427;1648;1.461;79,44
4542338;1680;1.489;69,15
