timestamp_us,adc_raw,voltage_V,field_mT
1750487492510766,1665,1.897,0.00
1750487492561112,1633,1.861,0.00
1750487492611471,1680,1.914,0.00
1750487492661872,1649,1.879,0.00
1750487492712177,1697,1.934,0.00
1750487492762488,1680,1.914,0.00
1750487492812898,1649,1.879,0.00
1750487492863233,1648,1.878,0.00
1750487492913513,1665,1.897,0.00
1750487492963816,1648,1.878,0.00
1750487493014123,1664,1.896,0.00
1750487493064445,1649,1.879,0.00
1750487493114769,1649,1.879,0.00
1750487493165160,1680,1.914,0.00
1750487493215566,1664,1.896,0.00
1750487493266089,1681,1.915,0.00
1750487493316446,1648,1.878,0.00
1750487493366792,1649,1.879,0.00
1750487493417270,1665,1.897,0.00
1750487493467649,1648,1.878,0.00
1750487493517985,1665,1.897,0.00
1750487493568400,1680,1.914,0.00
1750487493618856,1664,1.896,0.00
1750487493669540,1664,1.896,0.00
1750487493719944,1697,1.934,0.00
1750487493770271,1585,1.806,0.00
1750487493820686,1681,1.915,0.00
1750487493871000,1729,1.970,0.00
1750487493921374,1665,1.897,0.00
1750487493971780,1681,1.915,0.00
1750487494022439,1649,1.879,0.00
1750487494057658,1664,1.896,0.00
1750487494093351,1664,1.896,0.00
1750487494128670,1648,1.878,0.00
1750487494163984,1649,1.879,0.00
1750487494199744,1633,1.861,0.00
1750487494235065,1649,1.879,0.00
1750487494270759,1697,1.934,0.00
1750487494306335,1664,1.896,0.00
1750487494341790,1681,1.915,0.00
1750487494377363,1680,1.914,0.00
1750487494412681,1665,1.897,0.00
1750487494448115,1697,1.934,0.00
1750487494483652,1649,1.879,0.00
1750487494519062,1665,1.897,0.00
1750487494554504,1632,1.860,0.00
1750487494589904,1697,1.934,0.00
1750487494625265,1681,1.915,0.00
1750487494660563,1664,1.896,0.00
1750487494695993,1648,1.878,0.00
1750487494731337,1649,1.879,0.00
1750487494766603,1696,1.933,0.00
1750487494801897,1681,1.915,0.00
1750487494837252,1696,1.933,0.00
1750487494872600,1648,1.878,0.00
1750487494907905,1665,1.897,0.00
1750487494943215,1681,1.915,0.00
1750487494978538,1680,1.914,0.00
1750487495014010,1664,1.896,0.00
1750487495049322,1664,1.896,0.00
1750487495085086,1665,1.897,0.00
1750487495109875,1648,1.878,0.00
1750487495134666,1664,1.896,0.00
1750487495159485,1681,1.915,0.00
1750487495184306,1697,1.934,0.00
1750487495209145,1680,1.914,0.00
1750487495233997,1680,1.914,0.00
1750487495258859,1632,1.860,0.00
1750487495283959,1648,1.878,0.00
1750487495308759,1697,1.934,0.00
1750487495333561,1680,1.914,0.00
1750487495358501,1665,1.897,0.00
1750487495383347,1648,1.878,0.00
1750487495408521,1680,1.914,0.00
1750487495433458,1649,1.879,0.00
1750487495458253,1649,1.879,0.00
1750487495483165,1633,1.861,0.00
1750487495508071,1664,1.896,0.00
1750487495532934,1649,1.879,0.00
1750487495557877,1680,1.914,0.00
1750487495582720,1648,1.878,0.00
1750487495607845,1664,1.896,0.00
1750487495632619,1681,1.915,0.00
1750487495657374,1648,1.878,0.00
1750487495682298,1712,1.951,0.00
1750487495707155,1664,1.896,0.00
1750487495732235,1649,1.879,0.00
1750487495757073,1649,1.879,0.00
1750487495781999,1632,1.860,0.00
1750487495806789,1649,1.879,0.00
1750487495832012,1648,1.878,0.00
1750487495849423,1665,1.897,0.00
1750487495866862,1680,1.914,0.00
1750487495884286,1616,1.841,0.00
1750487495901707,1649,1.879,0.00
1750487495919132,1681,1.915,0.00
1750487495936638,1665,1.897,0.00
1750487495954105,1681,1.915,0.00
1750487495971592,1649,1.879,0.00
1750487495989291,1664,1.896,0.00
1750487496006742,1665,1.897,0.00
1750487496024188,1648,1.878,0.00
1750487496041612,1664,1.896,0.00
1750487496059043,1664,1.896,0.00
1750487496076491,1665,1.897,0.00
1750487496094049,1681,1.915,0.00
1750487496111513,1664,1.896,0.00
1750487496128939,1680,1.914,0.00
1750487496146419,1664,1.896,0.00
1750487496163922,1680,1.914,0.00
1750487496181369,1680,1.914,0.00
1750487496198783,1680,1.914,0.00
1750487496216256,1665,1.897,0.00
1750487496233904,1664,1.896,0.00
1750487496251361,1632,1.860,0.00
1750487496268812,1681,1.915,0.00
